2019年03月03日 23:01:17  警告: cj.studio.gateway.server.handler.TcpChannelHandler - 服务器：tcpSite 未指定通道激活或失活事件的通知目标。应用仅能在之后第一次请求时才能收到激活或失活事件。请在该net的属性中指定：OnChannelEvent-Notify-Dests=dest1,dest2
2019年03月03日 23:01:17  信息 : 已装载共享库/Users/caroceanjofers/studio/github/cj.studio.nettest/cj.studio.nettest.jobserver/cmdtools/gateway/lib/share
2019年03月03日 23:04:21  警告: cj.studio.gateway.server.handler.TcpChannelHandler - 服务器：tcpSite 未指定通道激活或失活事件的通知目标。应用仅能在之后第一次请求时才能收到激活或失活事件。请在该net的属性中指定：OnChannelEvent-Notify-Dests=dest1,dest2
2019年03月04日 11:53:17  信息 : -------------网关启动完毕-------------------
2019年03月04日 11:55:38  警告: cj.studio.gateway.server.handler.TcpChannelHandler - 服务器：tcpSite 未指定通道激活或失活事件的通知目标。应用仅能在之后第一次请求时才能收到激活或失活事件。请在该net的属性中指定：OnChannelEvent-Notify-Dests=dest1,dest2
2019年03月04日 11:55:38  警告: cj.studio.gateway.server.handler.TcpChannelHandler - 服务器：tcpSite 未指定通道激活或失活事件的通知目标。应用仅能在之后第一次请求时才能收到激活或失活事件。请在该net的属性中指定：OnChannelEvent-Notify-Dests=dest1,dest2
2019年03月04日 11:55:38  信息 : 已装载共享库/Users/caroceanjofers/studio/github/cj.studio.nettest/cj.studio.nettest.jobserver/cmdtools/gateway/lib/share
2019年03月04日 11:56:38  错误: cj.studio.gateway.tools.RouterConsole - Unrecognized option: -a
2019年03月04日 11:57:57  警告: cj.studio.gateway.server.handler.TcpChannelHandler - 服务器：tcpSite 未指定通道激活或失活事件的通知目标。应用仅能在之后第一次请求时才能收到激活或失活事件。请在该net的属性中指定：OnChannelEvent-Notify-Dests=dest1,dest2
2019年03月04日 12:05:24  警告: cj.studio.gateway.server.handler.TcpChannelHandler - 服务器：tcpSite 未指定通道激活或失活事件的通知目标。应用仅能在之后第一次请求时才能收到激活或失活事件。请在该net的属性中指定：OnChannelEvent-Notify-Dests=dest1,dest2
2019年03月04日 13:19:13  信息 : -------------网关启动完毕-------------------
2019年03月04日 13:21:01  警告: cj.studio.gateway.server.handler.TcpChannelHandler - 服务器：tcpSite 未指定通道激活或失活事件的通知目标。应用仅能在之后第一次请求时才能收到激活或失活事件。请在该net的属性中指定：OnChannelEvent-Notify-Dests=dest1,dest2
2019年03月04日 13:21:01  警告: cj.studio.gateway.server.handler.TcpChannelHandler - 服务器：tcpSite 未指定通道激活或失活事件的通知目标。应用仅能在之后第一次请求时才能收到激活或失活事件。请在该net的属性中指定：OnChannelEvent-Notify-Dests=dest1,dest2
2019年03月04日 13:21:01  信息 : 已装载共享库/Users/caroceanjofers/studio/github/cj.studio.nettest/cj.studio.nettest.jobserver/cmdtools/gateway/lib/share
2019年03月04日 13:22:42  警告: cj.studio.gateway.server.handler.TcpChannelHandler - 服务器：tcpSite 未指定通道激活或失活事件的通知目标。应用仅能在之后第一次请求时才能收到激活或失活事件。请在该net的属性中指定：OnChannelEvent-Notify-Dests=dest1,dest2
2019年03月04日 13:39:06  信息 : -------------网关启动完毕-------------------
2019年03月04日 13:42:00  警告: cj.studio.gateway.server.handler.TcpChannelHandler - 服务器：tcpSite 未指定通道激活或失活事件的通知目标。应用仅能在之后第一次请求时才能收到激活或失活事件。请在该net的属性中指定：OnChannelEvent-Notify-Dests=dest1,dest2
2019年03月04日 13:42:00  警告: cj.studio.gateway.server.handler.TcpChannelHandler - 服务器：tcpSite 未指定通道激活或失活事件的通知目标。应用仅能在之后第一次请求时才能收到激活或失活事件。请在该net的属性中指定：OnChannelEvent-Notify-Dests=dest1,dest2
2019年03月04日 13:42:00  信息 : 已装载共享库/Users/caroceanjofers/studio/github/cj.studio.nettest/cj.studio.nettest.jobserver/cmdtools/gateway/lib/share
2019年03月04日 13:42:40  信息 : -------------网关启动完毕-------------------
2019年03月04日 13:42:42  警告: cj.studio.gateway.server.handler.TcpChannelHandler - 服务器：tcpSite 未指定通道激活或失活事件的通知目标。应用仅能在之后第一次请求时才能收到激活或失活事件。请在该net的属性中指定：OnChannelEvent-Notify-Dests=dest1,dest2
2019年03月04日 13:42:43  信息 : 已装载共享库/Users/caroceanjofers/studio/github/cj.studio.nettest/cj.studio.nettest.jobserver/cmdtools/gateway/lib/share
2019年03月04日 13:51:18  信息 : -------------网关启动完毕-------------------
2019年03月04日 14:18:12  警告: cj.studio.gateway.server.handler.TcpChannelHandler - 服务器：tcpSite 未指定通道激活或失活事件的通知目标。应用仅能在之后第一次请求时才能收到激活或失活事件。请在该net的属性中指定：OnChannelEvent-Notify-Dests=dest1,dest2
2019年03月04日 14:18:12  警告: cj.studio.gateway.server.handler.TcpChannelHandler - 服务器：tcpSite 未指定通道激活或失活事件的通知目标。应用仅能在之后第一次请求时才能收到激活或失活事件。请在该net的属性中指定：OnChannelEvent-Notify-Dests=dest1,dest2
2019年03月04日 14:18:12  信息 : 已装载共享库/Users/caroceanjofers/studio/github/cj.studio.nettest/cj.studio.nettest.jobserver/cmdtools/gateway/lib/share
2019年03月04日 14:18:57  信息 : -------------网关启动完毕-------------------
2019年03月04日 14:18:58  警告: cj.studio.gateway.server.handler.TcpChannelHandler - 服务器：tcpSite 未指定通道激活或失活事件的通知目标。应用仅能在之后第一次请求时才能收到激活或失活事件。请在该net的属性中指定：OnChannelEvent-Notify-Dests=dest1,dest2
2019年03月04日 14:18:58  信息 : 已装载共享库/Users/caroceanjofers/studio/github/cj.studio.nettest/cj.studio.nettest.jobserver/cmdtools/gateway/lib/share
2019年03月04日 14:19:17  警告: cj.studio.gateway.server.handler.TcpChannelHandler - 服务器：tcpSite 未指定通道激活或失活事件的通知目标。应用仅能在之后第一次请求时才能收到激活或失活事件。请在该net的属性中指定：OnChannelEvent-Notify-Dests=dest1,dest2
2019年03月04日 14:25:07  信息 : -------------网关启动完毕-------------------
